,customer_id,name,class,gender,start_date,end_date,campaign_id,is_deleted,class_name,price,campaign_name,mean,median,max,routine_flg,calc_date,mermbership_period,membership_period
0,OA832399,XXXX,C01,F,2015-05-01,,CA1,0,0_종일,10500,2_일반,4.833333333333333,5.0,8,1,2019-04-30,0,47
1,PL270116,XXXXX,C01,M,2015-05-01,,CA1,0,0_종일,10500,2_일반,5.083333333333333,5.0,7,1,2019-04-30,0,47
2,OA974876,XXXXX,C01,M,2015-05-01,,CA1,0,0_종일,10500,2_일반,4.583333333333333,5.0,6,1,2019-04-30,0,47
3,HD024127,XXXXX,C01,F,2015-05-01,,CA1,0,0_종일,10500,2_일반,4.833333333333333,4.5,7,1,2019-04-30,0,47
4,HD661448,XXXXX,C03,F,2015-05-01,,CA1,0,2_야간,6000,2_일반,3.9166666666666665,4.0,6,1,2019-04-30,0,47
5,IK271057,XXXXX,C01,M,2015-05-01,,CA1,0,0_종일,10500,2_일반,3.75,3.5,5,1,2019-04-30,0,47
6,HI324666,XXXXX,C01,M,2015-05-01,,CA1,0,0_종일,10500,2_일반,3.9166666666666665,3.5,7,1,2019-04-30,0,47
7,AS647421,XXXXX,C01,F,2015-05-01,,CA1,0,0_종일,10500,2_일반,4.5,4.0,9,1,2019-04-30,0,47
8,AS069821,XXXXXX,C03,F,2015-05-01,,CA1,0,2_야간,6000,2_일반,4.083333333333333,3.5,7,1,2019-04-30,0,47
9,GD039425,XXXXX,C01,F,2015-05-01,,CA1,0,0_종일,10500,2_일반,4.666666666666667,4.5,7,1,2019-04-30,0,47
10,OA789036,XXXXX,C02,F,2015-05-01,,CA1,0,1_주간,7500,2_일반,4.75,5.0,7,1,2019-04-30,0,47
11,AS058623,XXXXX,C01,F,2015-05-01,,CA1,0,0_종일,10500,2_일반,4.5,5.0,6,1,2019-04-30,0,47
12,AS857207,XXXXX,C02,F,2015-05-01,,CA1,0,1_주간,7500,2_일반,4.5,5.0,8,1,2019-04-30,0,47
13,AS625883,XXXX,C02,F,2015-05-01,,CA1,0,1_주간,7500,2_일반,4.75,5.0,6,1,2019-04-30,0,47
14,HD782984,XXXXX,C02,F,2015-05-01,,CA1,0,1_주간,7500,2_일반,4.833333333333333,5.0,7,1,2019-04-30,0,47
15,HI804186,XXXX,C02,F,2015-05-01,,CA1,0,1_주간,7500,2_일반,4.833333333333333,5.0,7,1,2019-04-30,0,47
16,AS732240,XXXXX,C02,F,2015-05-01,,CA1,0,1_주간,7500,2_일반,4.666666666666667,5.0,7,1,2019-04-30,0,47
17,PL834411,XXXXX,C03,F,2015-05-01,,CA1,0,2_야간,6000,2_일반,4.916666666666667,4.5,8,1,2019-04-30,0,47
18,HD516059,XXX,C03,M,2015-05-01,,CA1,0,2_야간,6000,2_일반,4.166666666666667,4.0,7,1,2019-04-30,0,47
